uuid,queryfn,resultfn,similarity,confidence
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","bytes::bytes::bytes_mut::BytesMut::spare_capacity_mut","0.4329821812719673","17.52593392452563"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","bytes::bytes_mut::BytesMut::spare_capacity_mut","0.4329821812719673","17.52593392452563"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","httparse::httparse::iter::Bytes::len","0.4095638241734697","14.316021713319632"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","hyper::rt::io::ReadBuf::filled","0.3575317071440568","11.415058847464728"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","hyper::proto::h1::io::advance<alloc::vec::Vec<u8,_alloc::alloc::Global>>","0.33718469568269144","15.717840110735626"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","tokio::io::read_buf::ReadBuf::filled","0.32462321862658106","11.760628390312224"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","h2::proto::streams::counts::Counts::dec_num_reset_streams","0.29908580132898993","10.912041183851116"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","h2::proto::streams::stream::Stream::ref_dec","0.29908580132898993","10.912041183851116"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","bytes::buf::take::advance<bytes::bytes::Bytes>","0.2940579583468231","11.937243195961429"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","bytes::bytes::Bytes::inc_start","0.2776050314040411","11.489590866380436"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","bytes::bytes::Bytes::inc_start","0.2776050314040411","11.489590866380436"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","bytes::bytes::Bytes::inc_start","0.2776050314040411","11.489590866380436"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","bytes::bytes::Bytes::inc_start","0.2776050314040411","11.489590866380436"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","core::result::Result<(alloc::boxed::Box<tokio::runtime::scheduler::current_thread::Core,_alloc::alloc::Global>,_core::option::Option<core::result::Result<(),_alloc::boxed::Box<(dyn_core::error::Error_+_core::marker::Send_+_core::marker::Sync),_alloc::alloc::Global>>>),_std::thread::local::AccessError>::expect<(alloc::boxed::Box<tokio::runtime::scheduler::current_thread::Core,_alloc::alloc::Global>,_core::option::Option<core::result::Result<(),_alloc::boxed::Box<(dyn_core::error::Error_+_core::marker::Send_+_core::marker::Sync),_alloc::alloc::Global>>>),_std::thread::local::AccessError>","0.2634962657826014","9.448321716331463"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","tokio::runtime::scheduler::inject::pop::next<alloc::sync::Arc<tokio::runtime::scheduler::current_thread::Handle,_alloc::alloc::Global>>","0.2608672732626411","10.838138188895767"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","tokio::runtime::scheduler::inject::pop::next<alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle,_alloc::alloc::Global>>","0.2608672732626411","10.838138188895767"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","core::result::Result<(mio::net::uds::stream::UnixStream,_mio::net::uds::stream::UnixStream),_std::io::error::Error>::expect<(mio::net::uds::stream::UnixStream,_mio::net::uds::stream::UnixStream),_std::io::error::Error>","0.2591044639368559","9.448321716331463"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","core::option::Option<bytes::bytes_mut::BytesMut>::expect<bytes::bytes_mut::BytesMut>","0.25642201071678145","9.667558458071099"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","core::result::Result<bytes::bytes::Bytes,_hyper::error::Error>::expect<bytes::bytes::Bytes,_hyper::error::Error>","0.25642201071678145","9.667558458071099"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","core::result::Result<core::option::Option<tokio::runtime::context::runtime::EnterRuntimeGuard>,_std::thread::local::AccessError>::expect<core::option::Option<tokio::runtime::context::runtime::EnterRuntimeGuard>,_std::thread::local::AccessError>","0.25642201071678145","9.667558458071099"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","h2::proto::streams::counts::Counts::dec_num_streams","0.2531225435042096","10.95006929156714"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","core::result::Result<core::option::Option<core::result::Result<(),_alloc::boxed::Box<(dyn_core::error::Error_+_core::marker::Send_+_core::marker::Sync),_alloc::alloc::Global>>>,_std::thread::local::AccessError>::expect<core::option::Option<core::result::Result<(),_alloc::boxed::Box<(dyn_core::error::Error_+_core::marker::Send_+_core::marker::Sync),_alloc::alloc::Global>>>,_std::thread::local::AccessError>","0.24723185871603467","8.754449049971047"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","hashbrown::raw::inner::ProbeSeq::move_next","0.24645584794473482","10.345985702610236"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","tokio::io::read_buf::ReadBuf::assume_init","0.23728671402317847","8.661469653186746"
"41c2adfa-49b8-4a77-90a2-890fef49c01b","hyper_util::rt::tokio::poll_read<tokio::net::tcp::stream::TcpStream>","std::io::impls::write","0.2340477772120548","9.897435891838732"
