uuid,queryfn,resultfn,similarity,confidence
"04b9b7ed-7188-403a-9132-fe7076f48127","sqlite3_status64","sqlite3_status64","1.0","67.52718726314653"
"d4b4a422-6838-4d1e-8a79-0739527a094f","sqlite3MisuseError","sqlite3CantopenError","1.0","10.270301608378436"
"d4b4a422-6838-4d1e-8a79-0739527a094f","sqlite3MisuseError","sqlite3CorruptError","1.0","10.270301608378436"
"d4b4a422-6838-4d1e-8a79-0739527a094f","sqlite3MisuseError","sqlite3MisuseError","1.0","10.270301608378436"
"64ea9ea0-8fe5-4bd6-9c3c-3f3a7788351a","sqlite3Pcache1Mutex","sqlite3MallocMutex","0.9999999999999998","8.589937289120217"
"64ea9ea0-8fe5-4bd6-9c3c-3f3a7788351a","sqlite3Pcache1Mutex","sqlite3Pcache1Mutex","0.9999999999999998","8.589937289120217"
"88cc042d-d35c-4d2c-9033-c26d028f6688","sqlite3MallocMutex","sqlite3MallocMutex","0.9999999999999998","8.589937289120217"
"42277089-94a6-4e01-9880-4feff4788c9e","sqlite3_mutex_enter","sqlite3_mutex_enter","1.0","14.854829549554928"
"a90df88f-3928-4dd1-8c38-6e1be7a85052","sqlite3_mutex_leave","sqlite3_mutex_enter","1.0","14.854829549554928"
"a90df88f-3928-4dd1-8c38-6e1be7a85052","sqlite3_mutex_leave","sqlite3_mutex_free","1.0","14.854829549554928"
"a90df88f-3928-4dd1-8c38-6e1be7a85052","sqlite3_mutex_leave","sqlite3_mutex_leave","1.0","14.854829549554928"
"8f0d5405-df79-4506-a259-3baba7d1f17b","sqlite3_status","sqlite3_status","0.9999999999999998","26.020026871203267"
"8e3ba2c1-8788-4939-9e57-f494a8a4e1be","sqlite3_db_status","sqlite3_db_status","1.0","336.63226223749"
"ee8c81d3-1de7-4337-98b8-226d1d3f4b80","sqlite3LookasideUsed","sqlite3LookasideUsed","1.0000000000000002","42.041391804410836"
"4c080050-9cf3-43ca-a70f-ce90cbc7e413","sqlite3BtreeEnterAll","sqlite3BtreeEnterAll","1.0","16.503873626968495"
"7c114a96-3d6a-4aca-b335-9e09cdd950d9","sqlite3BtreePager","sqlite3BtreePager","1.0","11.076973884391101"
"426ea031-78b2-46c8-b24f-4e0ab7fc1e94","sqlite3PagerMemUsed","sqlite3PagerMemUsed","1.0000000000000002","31.20322250918328"
"a83796d4-168c-4348-92a5-ee8ddf3f4d9c","sqlite3BtreeConnectionCount","sqlite3BtreeConnectionCount","1.0","11.840936210604177"
"31a9ab60-a5ae-44b3-800f-c0639d44f719","sqlite3BtreeLeaveAll","sqlite3BtreeEnterAll","1.0","16.503873626968495"
"31a9ab60-a5ae-44b3-800f-c0639d44f719","sqlite3BtreeLeaveAll","sqlite3BtreeLeaveAll","1.0","16.503873626968495"
"e7110e62-2738-4811-89f8-dbf9d6d2c635","sqlite3_msize","sqlite3_msize","0.9999999999999999","20.627357012687472"
"64f821ae-56bd-4e17-82c7-dcb986503239","sqlite3DeleteTrigger","sqlite3DeleteTrigger","1.0000000000000002","32.37948555815796"
"f831ad12-b8e0-42c5-9612-d83b021cc3c9","sqlite3DeleteTable","sqlite3DeleteTable","1.0000000000000002","28.020790583928612"
"aa632833-bd23-4c32-96fe-c9106959764f","sqlite3VdbeDelete","sqlite3VdbeDelete","0.9999999999999999","31.663437330435475"
"9ba156bc-d3e7-4ece-acb1-50da4fe29982","sqlite3PagerCacheStat","sqlite3PagerCacheStat","1.0","33.46323716120611"
"80a5d276-c48d-446b-bfa4-20c23a0214ac","sqlite3_vfs_find","sqlite3_vfs_find","1.0","48.72642227863183"
"87cb7375-2ce9-4dfa-9264-cba31dce5ee7","sqlite3_initialize","sqlite3_initialize","1.0","164.46877737756648"
"bf51c4ca-dbfc-4734-b8b5-7a9902349c98","sqlite3MutexAlloc","sqlite3MutexAlloc","1.0","19.676812470580234"
"c5330537-e7d4-422a-88e3-5f981fb4eaca","sqlite3_vfs_register","sqlite3_vfs_register","1.0","47.1482743201402"
"9a85e578-71af-4111-8d6f-732aa36cff6c","vfsUnlink","vfsUnlink","1.0000000000000002","53.74149576029049"
